loss_vf_loss,EpLenMean,EpisodesSoFar,EpThisIter,EpExecMean,TimeElapsed,TimestepsSoFar,loss_ent,loss_pol_entpen,loss_kl,loss_pol_surr,ev_tdlam_before,EpRewMean
8.008594,5.84,3032,43,0.0047693564700000005,15836.969559431076,26873,1.3553052,-0.040659152,0.018784318,-0.02709605,0.9934238148853183,87.45361241380628
12.017092,5.75,3077,45,0.004629894620000001,16038.92309498787,27136,1.3124971,-0.03937491,0.14562668,-0.015029267,0.9903055913746357,88.95592312837992
13.183199,6.11,3116,39,0.00436651406,16219.176449298859,27389,1.3757764,-0.04127329,0.03349431,-0.025822263,0.9874664405360818,85.62100047261342
15.668575,6.13,3159,43,0.004442912060000001,16431.092691659927,27642,1.3819159,-0.041457478,0.020570297,-0.02397472,0.9841848071664572,83.47216078401496
9.71342,5.99,3200,41,0.004522246169999999,16621.270305633545,27902,1.3521961,-0.040565882,0.02185647,-0.025275026,0.9912219531834126,86.08130718288646
6.871032,5.95,3245,45,0.00447609991,16842.511568307877,28159,1.4456002,-0.043368004,0.009265471,-0.011101697,0.9950865437276661,87.4788622293091
8.871403,5.8,3289,44,0.00447960317,17050.137556552887,28415,1.4688327,-0.044064984,0.014837114,-0.02259718,0.9932476594112813,88.44829895888525
8.422426,6.2,3327,38,0.00452435188,17243.698836565018,28667,1.5607909,-0.04682373,0.009353653,-0.024092987,0.993407198227942,87.88211857469527
13.576949,6.26,3370,43,0.00478495128,17456.576329231262,28926,1.3983622,-0.041950863,0.018946066,-0.020647954,0.9900434669107199,87.81398135321379
7.0314445,6.13,3413,43,0.00469053426,17657.38706636429,29183,1.41445,-0.0424335,0.020211784,-0.016782014,0.9947686055675149,89.29957873660949
7.1441507,6.06,3453,40,0.00437839401,17866.817155838013,29437,1.5220727,-0.04566218,0.017527182,-0.027189247,0.9919903827831149,89.21298392051025
10.4584055,6.15,3494,41,0.0043199738799999995,18055.869059085846,29692,1.3768631,-0.041305892,0.033789877,-0.027934302,0.9901101030409336,89.10519504132168
7.6907616,6.02,3540,46,0.004516773330000001,18261.810735702515,29949,1.3155365,-0.03946609,0.018932588,-0.02695033,0.9939541001804173,84.11172089699375
7.7249646,5.87,3586,46,0.00465054182,18469.705087661743,30208,1.3288006,-0.039864015,0.017978992,-0.020636022,0.9933320628479123,82.91312545360961
7.6342435,5.44,3634,48,0.0048342446899999995,18692.997452020645,30461,1.2858977,-0.03857693,0.031908482,-0.014338564,0.9947923920117319,84.73326161386814
