EpThisIter,loss_pol_surr,TimeElapsed,EpisodesSoFar,loss_ent,EpRewMean,TimestepsSoFar,loss_kl,ev_tdlam_before,loss_vf_loss,loss_pol_entpen,EpLenMean,EpExecMean
47,-0.06147833,4512.699191808701,1259,2.33073,84.49992737142857,14078,0.09057923,0.955847717821598,41.35485,-0.069921896,5.43,0.0057303697300000005
36,-0.057824783,4627.589581012726,1295,2.1145258,85.10822816801696,14315,0.116864234,0.9588316977024078,30.783802,-0.06343577,5.92,0.00527815654
61,-0.017544275,4775.625603675842,1356,1.6460434,83.10695816393564,14591,0.03497116,0.9735757876187563,26.297112,-0.0493813,5.42,0.00536780414
58,-0.03626316,4924.779761552811,1414,1.7375885,83.19320777197929,14846,0.015509099,0.9781085085123777,19.285093,-0.052127652,4.34,0.005060542980000002
50,-0.039435543,5072.570141077042,1464,1.8631947,83.96345457635681,15103,0.041058533,0.9781859088689089,19.93842,-0.055895843,4.76,0.0048865753
44,-0.055056665,5194.8206605911255,1508,1.538415,84.47520973971021,15360,0.4244166,0.9700712747871876,20.974222,-0.046152446,5.38,0.0049129208100000005
17,-0.08422901,5269.877610206604,1525,3.0009406,84.95885241184564,15443,0.06392461,0.9038401618599892,22.522846,-0.09002821,5.5,0.004979182069999999
0,-0.015383998,5283.544835567474,1525,3.7631733,84.95885241184564,15443,0.07965991,-0.22244465351104736,7.5091267,-0.1128952,5.5,0.004979182069999999
42,-0.06476864,5392.89258480072,1567,2.1801016,81.27161553621866,16128,0.09329448,0.9532405585050583,43.82582,-0.065403044,10.1,0.00496976608
64,-0.0054905824,5540.870441198349,1631,1.5610259,86.71709894883266,16382,0.07560806,0.9787356872111559,22.576145,-0.046830777,4.08,0.004709061120000001
60,-0.037989393,5700.455575466156,1691,1.5747253,84.43097047198253,16636,0.07565058,0.9840685799717903,11.287091,-0.047241755,4.22,0.005012170979999999
61,-0.04281331,5851.286745786667,1752,1.7125273,83.94605468765509,16874,0.08742653,0.9631490111351013,37.437393,-0.051375814,4.1,0.00559609094
0,-0.045142002,5863.7857620716095,1752,3.709683,83.94605468765509,16874,0.09262957,-1.0496666431427002,6.255224,-0.111290485,4.1,0.00559609094
0,-0.027238451,5864.1532208919525,1752,3.6927528,83.94605468765509,16874,0.05928039,-0.08050286769866943,8.327468,-0.110782586,4.1,0.00559609094
2,-0.03677408,5875.341450691223,1754,3.5169744,76.1505137810732,17662,0.054320488,0.7868838012218475,62.261192,-0.10550924,11.9,0.00560899622
59,-0.063606754,6030.167549133301,1813,1.8969707,76.78527111470335,17917,0.27592757,0.785219356417656,49.696705,-0.05690912,11.88,0.00526740733
33,-0.041491915,6126.303622961044,1846,1.859477,76.32507457874104,18173,0.0801149,0.8429985344409943,30.01275,-0.05578431,13.22,0.004881577529999999
49,-0.03328938,6265.1170217990875,1895,1.8962541,84.77872981851675,18428,0.04449171,0.9657084159553051,15.505046,-0.056887623,5.94,0.0049453384
50,-0.011169448,6402.1928696632385,1945,1.6931121,85.29006660370092,18687,0.20687547,0.9822021629661322,16.71864,-0.05079336,5.18,0.00523700258
28,-0.040390007,6477.8946714401245,1973,2.3548303,83.6293552501516,18942,1.4981818,0.9521635994315147,23.459751,-0.0706449,6.18,0.005244585959999999
63,-0.042350017,6634.823596715927,2036,1.7396009,78.93228654584713,19195,0.04634946,0.9496957324445248,53.09282,-0.052188024,5.53,0.00715493652
52,-0.027462844,6785.655363082886,2088,1.9263403,82.10125120734365,19454,0.02598346,0.9705861061811447,14.300608,-0.057790212,4.5,0.006668477339999999
55,-0.017427502,6936.825491905212,2143,1.7393341,86.48574234076933,19711,0.016686775,0.9749170504510403,21.952448,-0.052180022,4.82,0.004891043120000001
60,-0.020535767,7102.143261194229,2203,1.5500998,86.20076319891047,19966,0.021342807,0.9891685284674168,13.634855,-0.046502993,4.38,0.0049845318699999995
60,-0.023884919,7241.636409044266,2263,1.598621,85.48682941196942,20221,0.02719083,0.9886370738968253,12.48592,-0.04795863,4.28,0.004654165870000001
57,-0.02357256,7393.367255687714,2320,1.5202689,85.62908714144557,20477,0.014280232,0.9895914075896144,11.193608,-0.045608062,4.35,0.00473956639
54,-0.033548992,7539.965884685516,2374,1.4250075,86.05907726237464,20734,0.009987876,0.9898074939846992,10.6755295,-0.042750224,4.66,0.00455151174
62,-0.013141781,7702.112346172333,2436,1.3979096,86.02069290088559,20987,0.022427715,0.97806266695261,25.507458,-0.041937288,4.32,0.0044679669
60,-0.02122876,7860.525552511215,2496,1.3645768,86.53816747795273,21248,0.009159443,0.9903593650087714,12.601227,-0.040937297,4.32,0.0044860620700000004
60,-0.011303134,8018.187484025955,2556,1.3296447,87.14125931489872,21504,0.0121898325,0.9809760432690382,19.45232,-0.039889336,4.25,0.004403724810000001
63,-0.01975109,8187.414064407349,2619,1.4122453,86.77402279228734,21757,0.01458011,0.9895974509418011,11.393927,-0.042367354,4.19,0.00448240242
57,-0.023093471,8349.782722711563,2676,1.4159977,85.06085734962853,22014,0.0155364275,0.9896615883335471,11.310967,-0.042479932,4.36,0.00452744789
54,-0.025923364,8496.651844978333,2730,1.3403953,85.68180547111179,22271,0.04991523,0.9800302851945162,23.07447,-0.04021186,4.68,0.004282718499999999
66,-0.023756852,8677.290770292282,2796,1.2184625,87.04119185923928,22527,0.015578662,0.9917950080707669,10.154964,-0.036553875,4.31,0.00454913859
59,-0.016583132,8842.84629201889,2855,1.2374935,86.32112673841837,22781,0.0120954225,0.9907398782670498,12.086189,-0.0371248,4.1,0.004775557729999999
58,-0.01871743,8996.239713907242,2913,1.1723262,84.5505238729549,23035,0.026976647,0.9839151073247194,17.786243,-0.035169788,4.3,0.0045325596299999995
66,-0.014397137,9162.330865859985,2979,1.2134178,83.19119155915818,23296,0.023270993,0.989821963943541,13.577656,-0.036402535,3.94,0.00429844328
55,-0.024376314,9328.964927196503,3034,1.5016015,83.11912058350077,23549,0.042655386,0.978884732350707,24.29626,-0.04504804,4.27,0.00419974145
47,-0.029075254,9473.127364397049,3081,1.6514885,85.22738905752607,23806,0.023839524,0.9765197709202766,17.783756,-0.049544655,5.01,0.004458800949999999
55,-0.016050193,9647.051535844803,3136,1.3722848,85.47617389890172,24060,0.014838213,0.9906149189919233,11.024826,-0.04116854,4.99,0.00457424936
51,-0.017302686,9796.96839427948,3187,1.3557689,85.20840581997126,24319,0.0157836,0.9825327508151531,16.091736,-0.040673066,4.82,0.00457075447
53,-0.011494018,9962.777266979218,3240,1.3845558,85.32468229618351,24575,0.012371029,0.9889038046821952,12.458887,-0.041536674,4.93,0.0047602882400000004
49,-0.019643774,10118.71156835556,3289,1.2990515,84.99522489040872,24830,0.023444574,0.988411738537252,11.469401,-0.038971547,5.02,0.00478671831
58,-0.024111426,10287.545789003372,3347,1.2288886,85.69982646012264,25088,0.028435225,0.9924270026385784,8.255365,-0.036866657,4.71,0.00459915264
56,-0.016066775,10453.498402357101,3403,1.2857499,83.97424771113039,25342,0.028885955,0.9908556770533323,11.394524,-0.038572498,4.47,0.00441907524
48,-0.020585347,10615.649567365646,3451,1.420815,85.46115276321235,25599,0.016823452,0.9949236428365111,5.6206584,-0.04262445,4.92,0.0043857036399999995
43,-0.024182644,10752.004427909851,3494,1.1900932,84.67141760500434,25853,0.024466163,0.9684157706797123,23.262854,-0.035702795,5.52,0.00433099276
54,-0.01873149,10920.636387825012,3548,1.24967,87.33475437895783,26112,0.015358203,0.9862634409219027,15.521622,-0.0374901,5.3,0.00412277425
46,-0.010970492,11077.58452630043,3594,1.2889516,87.45486750274249,26364,0.013126776,0.9861704939976335,14.505167,-0.038668543,5.11,0.004255608220000001
52,-0.009513989,11243.68322300911,3646,1.2290914,84.81049703018054,26621,0.0044411477,0.9846511967480183,17.279625,-0.036872745,5.16,0.004397624879999999
51,-0.015151937,11410.438788175583,3697,1.2375152,86.64405001096782,26880,0.011004969,0.9924781564623117,7.6483636,-0.037125457,5.02,0.0043312735
50,-0.01854103,11577.901622533798,3747,1.1776148,88.13363213782186,27133,0.013847632,0.9895275915041566,11.179499,-0.035328444,5.06,0.00423380369
54,-0.0071762307,11753.274139165878,3801,1.2286608,88.39622470524544,27390,0.01069955,0.9924987638369203,8.58856,-0.03685982,4.9,0.004144015799999999
53,-0.013570618,11933.767382860184,3854,1.1964326,87.93249593486658,27645,0.010326477,0.9907484035938978,6.463565,-0.03589298,4.76,0.00414484134
53,-0.012448618,12100.802756547928,3907,1.2146125,87.16023010928066,27902,0.0072435467,0.992654041852802,8.95688,-0.036438372,4.8,0.004024833719999999
39,-0.01830824,12254.10266160965,3946,1.2478606,86.5320708175694,28152,0.021516185,0.9547937028110027,24.910389,-0.037435815,5.45,0.0040179774
39,-0.046501353,12385.851746320724,3985,1.0726613,86.10072751822868,28414,0.06885362,0.9530529528856277,37.99461,-0.03217984,6.24,0.00406922139
49,-0.013179902,12562.860930204391,4034,1.265273,86.90614033559797,28667,0.0090854475,0.9910506019368768,12.95641,-0.037958186,5.76,0.004388585370000001
50,-0.014530072,12741.456278324127,4084,1.2631842,87.46428209563346,28926,0.0031397222,0.9890255508944392,10.983599,-0.037895523,5.18,0.00432709915
51,-0.011479411,12912.894661426544,4135,1.2225342,86.81128770636343,29180,0.0075464724,0.9872079817578197,13.333956,-0.036676023,5.06,0.004334932560000001
53,-0.012210295,13086.186160087585,4188,1.1594367,88.1547418699746,29434,0.012401619,0.9889431372284889,10.810743,-0.0347831,4.86,0.004096842170000001
53,-0.008764669,13258.992354393005,4241,1.2516655,88.83275694606412,29692,0.0048562377,0.9918472077697515,9.311081,-0.037549965,4.81,0.00410637698
47,-0.020490192,13423.358957767487,4288,1.310833,86.11304296843242,29950,0.011765382,0.9911478823050857,9.393722,-0.039324988,5.16,0.00426383555
52,-0.010960467,13595.331266880035,4340,1.1901636,87.20357374682959,30205,0.0069726855,0.9942735484801233,7.050559,-0.03570491,5.18,0.004197216649999999
55,-0.012611298,13777.787266492844,4395,1.2166837,89.42108299918164,30463,0.005624088,0.9967947413679212,3.924109,-0.036500514,4.77,0.0040609891300000004
