TimestepsSoFar,loss_pol_entpen,EpThisIter,EpisodesSoFar,loss_ent,ev_tdlam_before,loss_kl,TimeElapsed,EpExecMean,loss_pol_surr,loss_vf_loss,EpLenMean,EpRewMean
47098,-0.12841167,17,2127,4.280389,0.9206772297620773,0.06532084,155981.65289640427,0.05104422286,-0.02709964,49.793198,14.72,76.79371843931992
47254,-0.12676537,3,2130,4.2255125,0.48314720392227173,0.14262426,156481.2519118786,0.052864247589999996,-0.09265226,38.461044,15.93,75.02410340168429
47612,-0.13316908,16,2146,4.4389696,0.7180347144603729,0.066326834,157366.63776373863,0.051433500730000005,-0.058734808,139.78873,17.69,73.80755122757722
47848,-0.14854513,9,2155,4.9515047,0.8342270702123642,0.096388206,158080.43612670898,0.05054298316,-0.08987637,38.26999,18.89,72.63998359224074
48124,-0.13462162,12,2167,4.4873877,0.8546928018331528,0.054062914,158923.52583622932,0.05203589298,-0.07675251,44.973038,19.99,71.12655595714885
48371,-0.1297844,11,2178,4.326147,0.7345865070819855,0.068831675,159816.23085927963,0.053765001150000005,-0.090385646,80.97267,20.86,69.88639423960416
48638,-0.13449472,14,2192,4.4831576,0.8411629796028137,0.03998588,160724.35439062119,0.054728860430000005,-0.06141661,61.963074,21.0,69.36414247934775
48888,-0.1323362,13,2205,4.411207,0.9388525784015656,0.07027096,161673.26373314857,0.05229927631999999,-0.089807846,20.93965,21.33,69.89123031548753
49146,-0.12860113,17,2222,4.2867045,0.961422573775053,0.060083583,162673.08759188652,0.05629441841999999,-0.073102325,15.310341,21.17,68.61696446248936
49356,-0.12998109,15,2237,4.332703,0.9237628132104874,0.08498286,163530.6559870243,0.056634805989999995,-0.072615065,31.085495,18.83,70.84669253783467
49646,-0.14008196,14,2251,4.6693983,0.83346888422966,0.12540312,164530.8578221798,0.059404042920000004,-0.07552838,62.198975,19.36,69.45962759675122
49909,-0.12689203,18,2269,4.2297344,0.9295815229415894,0.050673958,165531.76617598534,0.05775364379000002,-0.07390872,38.19666,17.47,72.13013507589206
50162,-0.1375659,18,2287,4.5855293,0.8022655993700027,0.0980465,166580.0645327568,0.05572389964999999,-0.058887273,114.089096,16.18,73.85769079355356
50424,-0.13364005,16,2303,4.4546685,0.9691899549216032,0.037077673,167500.80850434303,0.0540396715,-0.06621373,13.055163,15.86,74.62331318410715
50681,-0.13333182,17,2320,4.444394,0.8523238748311996,0.06229832,168424.05382871628,0.04950776279,-0.06489833,74.67719,15.67,76.28146989679527
50933,-0.14018674,17,2337,4.6728916,0.9190478771924973,0.03989543,169459.6069328785,0.04665062153999999,-0.044034265,43.042366,15.77,77.11589339840175
51191,-0.15752006,8,2345,5.250668,0.4521905779838562,0.07653068,170366.05245876312,0.04584708849,-0.089502916,57.811558,16.85,76.5962058885058
51444,-0.14358835,15,2360,4.7862787,0.8756133392453194,0.06894414,171397.4135673046,0.041597910560000007,-0.08128901,43.238255,16.7,77.80877403529396
51706,-0.14761713,15,2375,4.9205713,0.8441144526004791,0.07229088,172419.0860002041,0.04162552369999999,-0.0555823,69.13367,17.11,77.5898284850979
51953,-0.14045542,15,2390,4.6818476,0.8331153392791748,0.059162345,173383.2708184719,0.04259874799000001,-0.06872621,75.95273,17.32,76.89454283709667
52216,-0.14864075,17,2407,4.954692,0.9207523763179779,0.06235889,174403.0726351738,0.0439841623,-0.046929747,37.111664,17.33,76.44572414959919
52478,-0.14719974,15,2422,4.9066577,0.9387496523559093,0.068152264,175361.50164556503,0.047480861160000006,-0.098249435,26.212215,17.66,75.11410962576394
52718,-0.1437728,14,2436,4.792426,0.9193974062800407,0.05779709,176294.9078259468,0.04826674601,-0.09279725,34.439728,18.02,74.2595144448457
52989,-0.13041835,22,2458,4.3472776,0.949943020939827,0.051392503,177266.3563220501,0.049133201159999994,-0.08162455,15.936808,15.85,75.00784177101752
53226,-0.128592,16,2474,4.2864,0.8910854086279869,0.06092024,178180.292222023,0.047977881050000004,-0.066000156,43.994415,15.43,76.0261142928923
53500,-0.11951797,19,2493,3.9839325,0.9492425061762333,0.07476683,179212.03649187088,0.045133203670000004,-0.06938678,25.617355,14.93,77.217675705121
53675,-0.13701326,13,2506,4.5671086,0.7169013619422913,0.045031905,180024.72409057617,0.047175691780000015,-0.07599757,86.17471,14.69,76.84599145215593
53976,-0.13841586,17,2523,4.6138616,0.8109450936317444,0.07376083,180987.5922689438,0.04523245515,-0.055278085,108.980774,14.77,77.28552220514324
54271,-0.13224882,16,2539,4.408294,0.9170943200588226,0.06500516,181909.62761211395,0.04729538721000001,-0.08053634,34.30022,14.97,76.53721493208948
54522,-0.12663335,15,2554,4.2211113,0.8107208162546158,0.056864124,182729.87742948532,0.047845080740000004,-0.05245512,95.97923,15.74,75.68913626863144
54775,-0.13129504,14,2568,4.376502,0.8652530610561371,0.08836197,183707.66591620445,0.046878499080000004,-0.09191337,44.89914,16.31,75.97324591707257
55039,-0.13479574,16,2584,4.4931912,0.831916019320488,0.07111155,184694.65376782417,0.05009911046,-0.063166685,69.47084,16.46,74.77989696212268
55289,-0.11659075,20,2604,3.8863585,0.861653283238411,0.045572184,185678.64464521408,0.05117466899999999,-0.06946184,78.27266,16.5,74.30145912026906
