EpisodesSoFar,EpRewMean,EpLenMean,EpThisIter,loss_ent,TimeElapsed,loss_pol_entpen,loss_kl,loss_pol_surr,EpExecMean,ev_tdlam_before,TimestepsSoFar,loss_vf_loss
5629,86.30016265402328,4.16,51,2.2434678,49400.16788625717,-0.06730403,0.003601705,-0.008392192,0.01590446657,0.9648510217666626,31994,54.76013
5686,82.7440051946319,4.76,57,2.4543066,49961.46102690697,-0.0736292,0.024291657,-0.034456354,0.01114480057,0.9465132169425488,32254,25.618074
5742,85.14966243240534,4.42,56,2.173883,50434.22569537163,-0.06521649,0.002844723,-0.0107832635,0.01553823984,0.913958802819252,32507,134.83125
5804,80.68977402819195,4.38,62,2.3998322,50950.850690603256,-0.07199496,0.0039620483,-0.012243351,0.0257506908,0.8647817075252533,32763,221.89142
5867,77.97361261835401,3.97,63,2.4396467,51469.20801973343,-0.07318941,0.0039393175,-0.007972616,0.018095975079999996,0.8955431953072548,33024,161.9972
5936,79.25295644204802,3.67,69,2.2144423,52051.673023462296,-0.066433266,0.0032011373,-0.0062438697,0.012831247639999998,0.9482534416019917,33279,89.509766
5991,75.36631164708446,3.97,55,2.2322326,52535.418889284134,-0.06696697,0.009171529,-0.0067616105,0.017920096470000004,0.7970078736543655,33530,265.13318
6051,71.63278649548644,4.61,60,2.1930368,53014.67223238945,-0.0657911,0.0024724558,-0.0055212807,0.013667174390000003,0.9150338396430016,33788,131.16158
6125,75.73205141490774,3.43,74,2.457903,53578.96753168106,-0.073737085,0.0032053746,-0.009708125,0.00939166156,0.955452173948288,34047,77.75401
6188,77.60610408079272,3.69,63,2.3607404,54103.51641392708,-0.07082221,0.0048382785,-0.006634876,0.010546985819999998,0.9547407701611519,34301,73.81967
6261,76.03003693425654,3.62,73,2.252342,54662.40401792526,-0.06757026,0.003756506,-0.009568226,0.00772207421,0.9732585828751326,34560,43.633274
6309,77.65075974383645,4.22,48,1.587275,55060.82233214378,-0.047618248,0.0026319106,-0.010991773,0.013133922989999998,0.914583221077919,34815,149.92522
6391,80.22708061419372,4.1,82,2.2306309,55645.101039886475,-0.06691893,0.0047117034,-0.007690248,0.009202752710000001,0.9057215973734856,35071,189.65543
6459,80.90170965389319,3.55,68,2.4076777,56263.18286013603,-0.072230324,0.004969375,-0.0133815035,0.0077665993399999985,0.9474433735013008,35328,88.196815
6518,84.48760566333776,4.21,59,1.7711248,56737.25377178192,-0.05313374,0.0030573248,-0.009383462,0.008048792360000001,0.9554495215415955,35579,82.318634
6598,78.0710046859333,3.21,80,2.3213313,57377.35499000549,-0.069639936,0.005664722,-0.006377779,0.00890317132,0.8876878246665001,35840,216.3342
6647,72.12480674001655,4.33,49,1.6903138,57725.865401268005,-0.050709415,0.003403944,-0.0020204969,0.01565632406,0.7115532159805298,36095,437.90396
6707,75.45943445025132,4.02,60,2.02978,58169.31338882446,-0.060893398,0.0020099927,-0.004699923,0.01637198144,0.9209153577685356,36350,118.24437
6764,78.16729514423024,3.97,57,1.9274513,58638.54644083977,-0.05782354,0.0026370343,-0.0012081368,0.012595726790000001,0.8839660584926605,36548,189.54695
6813,81.16034765027761,4.91,49,2.0030272,59014.48781323433,-0.060090818,0.0044380333,-0.006082777,0.0113717708,0.870643824338913,36860,190.97903
6887,84.7939495871865,3.58,74,2.443604,59611.62381315231,-0.07330811,0.003633951,-0.006068973,0.00853949233,0.920158363878727,37120,152.36197
6955,81.17944852377563,3.63,68,2.2940412,60200.68983888626,-0.06882123,0.018916652,-0.02604544,0.006315777960000001,0.9980513850459829,37370,3.2275834
7034,79.58001654635649,3.43,79,2.2216408,60845.79962182045,-0.06664922,0.004839933,-0.01060367,0.012253584110000002,0.8816543221473694,37631,234.81213
7110,83.09137572688003,3.37,76,2.2616704,61366.40365290642,-0.067850105,0.0055217883,-0.008872427,0.01328177343,0.8882768675684929,37888,220.33884
